1,3.7e-07,0.00460455,0.00460418
2,0.01552183,0.01970875,0.00418692
3,0.03134939,0.0357806,0.00443121
4,0.0467392,0.05201957,0.00528037
5,0.06236819,0.06662678,0.00425859
6,0.07826852,0.08477069,0.00650217
7,0.09378706,0.09979444,0.00600738
8,0.10949248,0.1144715,0.00497902
9,0.13934322,0.14312421,0.00378099
10,0.15517371,0.1586102,0.00343649
11,0.17076758,0.17416312,0.00339554
12,0.18631648,0.18986268,0.0035462
13,0.20183538,0.20526237,0.00342699
14,0.21728517,0.22191056,0.00462539
15,0.23295731,0.23637003,0.00341272
16,0.24855447,0.25476408,0.00620961
17,0.26457585,0.26799407,0.00341822
18,0.27979891,0.28428424,0.00448533
19,0.29560123,0.29931091,0.00370968
20,0.3110075,0.31510665,0.00409915
21,0.32668439,0.33006786,0.00338347
22,0.3422545,0.34809292,0.00583842
23,0.35807694,0.36141469,0.00333775
24,0.37381344,0.37936296,0.00554952
25,0.38935502,0.39284125,0.00348623
26,0.40479018,0.40860993,0.00381975
27,0.42056654,0.42557555,0.00500901
28,0.43600389,0.44057187,0.00456798
29,0.45162666,0.45742083,0.00579417
30,0.46728453,0.4707192,0.00343467
31,0.48358384,0.48787974,0.0042959
32,0.49857651,0.50300369,0.00442718
33,0.51457558,0.51906639,0.00449081
34,0.52983703,0.53406856,0.00423153
35,0.54565545,0.54934391,0.00368846
36,0.56124859,0.56553023,0.00428164
37,0.57680224,0.58183393,0.00503169
38,0.59249924,0.59689607,0.00439683
39,0.60811982,0.61146781,0.00334799
40,0.62349244,0.62864627,0.00515383
41,0.63935438,0.64339172,0.00403734
42,0.65471786,0.6595773,0.00485944
43,0.67058857,0.67416989,0.00358132
44,0.68600545,0.68991077,0.00390532
45,0.70162346,0.70557413,0.00395067
46,0.71719429,0.7216489,0.00445461
47,0.73306976,0.73627001,0.00320025
48,0.74854844,0.75258834,0.0040399
49,0.76421216,0.76797267,0.00376051
