1,1531848068466,15318480684666,13786632616200
2,1531848068482,15318480684822,13786632616340
3,1531848068497,15318480684979,13786632616482
4,1531848068513,15318480685135,13786632616622
5,1531848068529,15318480685291,13786632616762
6,1531848068544,15318480685447,13786632616903
7,1531848068567,15318480685670,13786632617103
8,1531848068582,15318480685826,13786632617244
9,1531848068598,15318480685982,13786632617384
10,1531848068613,15318480686139,13786632617526
11,1531848068629,15318480686295,13786632617666
12,1531848068645,15318480686451,13786632617806
13,1531848068667,15318480686673,13786632618006
14,1531848068683,15318480686830,13786632618147
15,1531848068698,15318480686986,13786632618288
16,1531848068714,15318480687142,13786632618428
17,1531848068729,15318480687298,13786632618569
18,1531848068745,15318480687454,13786632618709
19,1531848068767,15318480687677,13786632618910
20,1531848068783,15318480687833,13786632619050
21,1531848068798,15318480687989,13786632619191
22,1531848068814,15318480688146,13786632619332
23,1531848068830,15318480688302,13786632619472
24,1531848068845,15318480688458,13786632619613
25,1531848068868,15318480688681,13786632619813
26,1531848068883,15318480688837,13786632619954
27,1531848068899,15318480688993,13786632620094
28,1531848068914,15318480689149,13786632620235
29,1531848068930,15318480689306,13786632620376
30,1531848068946,15318480689462,13786632620516
31,1531848068968,15318480689684,13786632620716
32,1531848068984,15318480689840,13786632620856
33,1531848068999,15318480689997,13786632620998
34,1531848069015,15318480690153,13786632621138
35,1531848069030,15318480690309,13786632621279
36,1531848069046,15318480690465,13786632621419
37,1531848069068,15318480690688,13786632621620
38,1531848069084,15318480690844,13786632621760
39,1531848069100,15318480691000,13786632621900
40,1531848069115,15318480691156,13786632622041
41,1531848069131,15318480691313,13786632622182
42,1531848069146,15318480691469,13786632622323
43,1531848069169,15318480691692,13786632622523
44,1531848069184,15318480691848,13786632622664
45,1531848069200,15318480692004,13786632622804
46,1531848069216,15318480692160,13786632622944
47,1531848069231,15318480692316,13786632623085
48,1531848069242,15318480692424,13786632623182
49,1531848069269,15318480692694,13786632623425
